GUID|SESAME|CREATOR|AFFILIATION|TITLE|RESOURCE LANGUAGE|METADATA LANGUAGE|DATE|CITATION|EDUCATIONAL DESCRIPTION|TECHNICAL DESCRIPTION|EDUCATIONAL CONTEXT|EDUCATIONAL INSTRUCTIONS|EDUCATIONAL OBJECTIVES|ASSESSMENT METHODS|EDUCATIONAL PREREQUISITES
3647||Philip Davies||Screening pro prevenci karcinomu děložnıho čipku (Cervixu)|Czech|English|2009-10-16||YES|YES|YES|YES|YES|YES|YES|
3654||Philip Davies||Lidske papillomaviry (HPV) a karcinomu děložnıho čipku (Cervixu)|Czech|English|2009-10-16||YES|YES|YES|YES|YES|YES|YES|
3661||Philip Davies||Sledováni a lėčba žen s bnormálnim cytologickýym nálezem na děložnim čipku|Czech|English|2009-10-16||YES|YES|YES|YES|YES|YES|YES|
3668||Philip Davies||Očkování proti HPV a karcinomu děložního čípku|Czech|English|2009-10-16||YES|YES|YES|YES|YES|YES|YES|
3695||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|Geometric Optics - An Introduction (presentation)|Greek|English|2009-12-03|YES|YES|YES|YES|||||
3702||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|Physics of Human Vision and Eye|Greek|English|2010-06-04|YES|YES|YES|YES|YES||||
3709||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|Basic Principles of Radiation Physics|Greek|English|2010-06-10|YES|YES|YES|YES|YES||||
3716||Philip Davies||Cervical Cancer Screening|English|English|2008-12-10||YES|YES|YES|YES|YES|YES|YES|
3723||Philip Davies||Human Papillomavirus (HPV) and Cervical Cancer|English|English|2008-12-10||YES|YES|YES|YES|YES|YES|YES|
3730||Philip Davies||Follow-up and Treatment of an Abnormal Cervical Smear|English|English|2008-12-10||YES|YES|YES|YES|YES|YES|YES|
3737||Philip Davies||Vaccination Against HPV and Cervical Cancer|English|English|2008-12-10||YES|YES|YES|YES|YES|YES|YES|
3748||Philip Davies||Cervical Cancer Screening|English|English|2009-10-09|||YES|YES|YES|YES|YES|YES|
3755||Philip Davies||Human Papillomavirus (HPV) and Cervical Cancer|English|English|2009-10-09||YES|YES|YES|YES|YES|YES|YES|
3762||Philip Davies||Follow-up and Treatment of an Abnormal Cervical Smear|English|English|2009-10-09||YES|YES|YES|YES|YES|YES|YES|
3769||Philip Davies||Vaccination Against HPV and Cervical Cancer|English|English|2009-10-09||YES|YES|YES|YES|YES|YES|YES|
3804||Philip Davies||Emakakaelavähi sõeluuring|Estonian|English|2009-11-10||YES|YES|YES|YES|YES|YES|YES|
3811||Philip Davies||Inimese papilloomviirus (HPV) ja emakakaelavähk|Estonian|English|2009-11-10||YES|YES|YES|YES|YES|YES|YES|
3818||Philip Davies||Jälgimine ja ravi, kui Pap-testi vastus|Estonian|English|2009-11-10||YES|YES|YES|YES|YES|YES|YES|
3825||Philip Davies||HPV ja emakakaelavähi vastu|Estonian|English|2009-11-10||YES|YES|YES|YES|YES|YES|YES|
3836||Philip Davies||Screening del cancro della cervice uterina|Italian|English|2010-01-19||YES|YES|YES|YES|YES|YES|YES|
3843||Philip Davies||Papilloma virus umano (HPV) e cancro della cervice uterina|Italian|English|2010-07-19||YES|YES|YES|YES|YES|YES|YES|
3850||Philip Davies||Follow-up e trattamento di un Pap-test anormale|Italian|English|2010-01-19||YES|YES|YES|YES|YES|YES|YES|
3857||Philip Davies||Vaccino contro l’HPV e il cancro cervicale|Italian|English|2010-01-19||YES|YES|YES|YES|YES|YES|YES|
3868||Philip Davies||Преглед (скрининг) за рак на грлото на матката|Other|English|2010-02-08||YES|YES|YES|YES|YES|YES|YES|
3875||Philip Davies||Хуман папилома вирус (ХПВ )|Other|English|2010-02-08||YES|YES|YES|YES|YES|YES|YES|
3882||Philip Davies||Следење и лекување на жени|Other|English|2010-02-08||YES|YES|YES|YES|YES|YES|YES|
3889||Philip Davies||Вакцинирање против ХПВ и рак на грлото на матката|Other|English|2010-02-08||YES|YES|YES|YES|YES|YES|YES|
3934||Philip Davies||Rastreio do Cancro do Colo do Útero|Portuguese|English|2009-12-08||YES|YES|YES|YES|YES|YES|YES|
3941||Philip Davies||O Vírus do Papiloma Humano (HPV) e o cancro do colo do útero|Portuguese|English|2009-12-08||YES|YES|YES|YES|YES|YES|YES|
3948||Philip Davies||Seguimento e tratamento de um exame de Papanicolaou anormal|Portuguese|English|2009-12-08||YES|YES|YES|YES|YES|YES|YES|
3955||Philip Davies||Vacinação contra o HPV e cancro do colo do útero|Portuguese|English|2009-12-08||YES|YES|YES|YES|YES|YES|YES|
3966||Philip Davies||Skryning raka szyjki macicy|Polish|English|2010-03-10||YES|YES|YES|YES|YES|YES|YES|
3973||Philip Davies||Wirus brodawczaka ludzkiego a rak szyjki macicy|Polish|English|2010-03-10||YES|YES|YES|YES|YES|YES|YES|
3980||Philip Davies||Kontrola i leczenie pacjentek z nieprawidłowym wynikiem badania cytologicznego|Polish|English|2010-03-10||YES|YES|YES|YES|YES|YES|YES|
3990||Philip Davies||Screening-ul cancerului de col uterin|Romanian|English|2009-11-20||YES|YES|YES|YES|YES|YES|YES|
3997||Philip Davies||Virusul Papilloma si cancerul de col uterin|Romanian|English|2009-11-20||YES|YES|YES|YES|YES|YES|YES|
4004||Philip Davies||Urmarirea si tratamentul dupa un test Papanicolau anormal|Romanian|English|2009-11-20||YES|YES|YES|YES|YES|YES|YES|
4011||Philip Davies||Vaccinarea impotriva HPV si a cancerului de col uterin|Romanian|English|2009-11-20||YES|YES|YES|YES|YES|YES|YES|
4022||Philip Davies||Скрининг на рак шейки матки|Russian|English|2010-03-19||YES|YES|YES|YES|YES|YES|YES|
4029||Philip Davies||Вирус папилломы человека (ВПЧ ) и рак шейки матки|Russian|English|2010-03-19||YES|YES|YES|YES|YES|YES|YES|
4036||Philip Davies||Тактика при аномалиях в Пап тесте : наблюдение или лечение?|Russian|English|2010-03-19||YES|YES|YES|YES|YES|YES|YES|
4043||Philip Davies||Вакцинация против ВПЧ и рака шейки|Russian|English|2010-03-19||YES|YES|YES|YES|YES|YES|YES|
4150||Eva Mihajlova||Лекция №1. БОЛЕСТИ НА АДЕНОХИПОФИЗАТА. Аденоми. Пролактином. Акромегалия|||2009-12-20||YES||YES|YES|YES||YES|
4157||Eva Mihajlova||Лекция №2. ХИПОПИТУИТАРИЗЪМ. ЗАБОЛЯВАНИЯ НА НЕВРОХИПОФИЗАТА Инсипиден диабет. SIADH|Bulgarian|Bulgarian|2009-12-20||YES||YES||YES||YES|
4164||Eva Mihajlova||Лекция №3. ЗАБОЛЯВАНИЯ НА ЩИТОВИДНАТА ЖЛЕЗА Гуша. Хипотиреоидизъм. Тиреоидити|Bulgarian|Bulgarian|2009-12-20||YES||YES||YES|||
4171||Eva Mihajlova||Лекция №4. ЗАБОЛЯВАНИЯ НА ЩИТОВИДНАТА ЖЛЕЗА Хипертиреоидизъм и тиреотоксикоза. Тиреоидни карциноми|Bulgarian|Bulgarian|2009-12-20||YES||YES||YES||YES|
4178||Eva Mihajlova||Лекция №5. ЗАБОЛЯВАНИЯ  НА  ПАРАЩИТОВИДНИТЕ ЖЛЕЗИ – регулация на калциево-фосфорната обмяна, хипопаратиреоидизъм; хиперпаратиреоидизъм.|Bulgarian|Bulgarian|2009-12-20||YES||YES||YES||YES|
4185||Eva Mihajlova||Лекция №7. ЗАБОЛЯВАНИЯ НА НАДБЪБРЕЧНАТА КОРА. Синдром на Cushing|Bulgarian|Bulgarian|2009-12-20||YES||YES|YES|YES||YES|
4192||Eva Mihajlova||Лекция №8. ЗАБОЛЯВАНИЯ НА НАДБЪБРЕЧНАТА КОРА. хипералдостеронизъм|Bulgarian|Bulgarian|2009-12-20||YES||YES||YES||YES|
4199||Eva Mihajlova||Лекция №9. ЗАБОЛЯВАНИЯ НА НАДБЪБРЕЧНАТА  МЕДУЛА. Феохромоцитом. МЕН.|Bulgarian|Bulgarian|2009-12-20||YES||YES||YES||YES|
4206||Eva Mihajlova|||Bulgarian|Bulgarian|2009-12-20||YES||YES||YES|||
4213||Eva Mihajlova||Лекция №6. ЗАБОЛЯВАНИЯ НА НАДБЪБРЕЧНАТА КОРА. Първична надбъбречнокорова недостатъчност. Вродена надбъбречнокорова хиперплазия|Bulgarian|Bulgarian|2009-12-20||YES||YES||YES||YES|
4220||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter4|Bulgarian|English||||||||||
4227||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter5|Bulgarian|English||||||||||
4234||Dora Edreva|medical university plovdiv|http://moodle-pld.co.cc/file.php/3/Ventilation_Chapter6.pdf|Bulgarian|English||||||||||
4241||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter5|Bulgarian|English||||||||||
4248||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter8|Bulgarian|||||||||||
4255||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter9|Bulgarian|Bulgarian||||||||||
4262||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter10|Bulgarian|||||||||||
4269||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 11 12|Bulgarian|||||||||||
4276||Dora Edreva|medical university plovdiv|Continuous Positive Airway Pressure - СРАР|English|English|2010-08-23||YES|YES|YES|||||
4283||Dora Edreva|medical university plovdiv|CONVENTIONAL VENTILATION - CV|English|English|2010-08-05|||||YES||||
4290||Dora Edreva|medical university plovdiv|Patient Triggered Ventilation -PTV|English|English|2010-08-11|YES|YES|YES|YES|YES|YES|YES|YES|
4297||Dora Edreva|medical university plovdiv|High Frequency Ventilation - HFV|English|English|2010-08-13|YES|YES|YES|YES|YES|YES|YES|YES|
4304||Dora Edreva|medical university plovdiv|ЕxtraCorporeal Membrane Oxygenation - ЕСМО|English|English|2010-08-25|YES|YES|YES|YES|YES|YES|YES|YES|
4311||Dora Edreva|medical university plovdiv|Perfluorocarbon Ventilation, Liquid Ventilation – LV|English|English|2010-08-23|YES|YES|YES|YES|YES|YES|YES|YES|
4318||Dora Edreva|medical university plovdiv|VENTILATION/OXYGENATON THERAPY AND SURFACTANT|English|English|2010-08-23|YES|YES|YES|YES|YES|YES|YES|YES|
4325||Dora Edreva|medical university plovdiv|VOT COMPLICATIONS|English|English|2010-08-23|YES|YES|YES|YES|YES|YES|YES|YES|
4332||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 13 14|Bulgarian|English||YES||||||||
4339||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 15 16|Bulgarian|English||YES||||||||
4346||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 18 19|Bulgarian|English||YES||||||||
4353||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 20|Bulgarian|English||YES||||||||
4360||Dora Edreva|medical university plovdiv|CARE FOR VENTILATED PAIENT|English|English|2010-08-23|YES|YES|YES|YES|YES|YES|YES|YES|
4367||Dora Edreva|medical university plovdiv|PRINCIPLES OF MONITORING VOT|English|English|2010-08-23|YES|YES|YES|YES|YES|YES|YES|YES|
4374||Dora Edreva|medical university plovdiv|VOT NEUROLOGICAL  MONITORING|English|English|2010-08-23|YES|YES|YES|YES|YES|YES|YES|YES|
4381||Dora Edreva|medical university plovdiv|VOT and nutrition|English|English|2010-08-23|YES|YES|YES|YES|YES|YES|YES|YES|
4388||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter3|Bulgarian|English||YES||||||||
4395||Dora Edreva|medical university plovdiv|CONTROLLED VARIABLES, DETERMINANTES OF THE OXYGENATION AND CALCULATED INDICES|English|English|2010-08-25|YES|YES|YES|YES|YES|YES|YES|YES|
4402||Dora Edreva|medical university plovdiv|CONTROLLED VARIABLES, DETERMINANTES OF THE OXYGENATION AND CALCULATED INDICES part2] CONTROLLED VARIABLES, DETERMINANTES OF THE OXYGENATION AND CALCULATED INDICES part2|English|English|2010-08-25|YES|YES|YES|YES|YES|YES|YES|YES|
4409||Dora Edreva|medical university plovdiv|CONTROLLED VARIABLES, DETERMINANTES OF THE OXYGENATION AND CALCULATED INDICES part3|English|English|2010-08-25|YES|YES|YES|YES|YES|YES|YES|YES|
4416||Dora Edreva|medical university plovdiv|VOT and drug therapy|English|English|2010-08-22|YES|YES|YES|YES|YES|YES|YES|YES|
4423||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 21|Bulgarian|English|2010-08-22|YES||||||||
4430||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 22|Bulgarian|English|2010-08-22|YES||||||||
4437||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 23|Bulgarian|English|2010-08-22|YES||||||||
4444||Dora Edreva|medical university plovdiv|VOT and thermal comfort|English|English|2010-08-22|YES|YES|YES|YES|YES|YES|YES|YES|
4451||Dora Edreva|medical university plovdiv|VOT and diagnostic/therapeutic procedures|English|English|2010-08-22|YES|YES|YES|YES|YES|YES|YES|YES|
4458||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 24|Bulgarian|English||YES||||||||
4465||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 25|Bulgarian|English||YES||||||||
4472||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD Chapter 26|Bulgarian|English||YES||||||||
4479||Dora Edreva|medical university plovdiv|VENTILATION OXYGENATION THERAPY IN CHILDHOOD  Abbrevitations|Bulgarian|English||YES||||||||
4486||Dora Edreva|medical university plovdiv|VOT and transport|English|English|2010-08-22|YES|YES|YES|YES|YES|YES|YES|YES|
4493||Dora Edreva|medical university plovdiv|VOT - Home care|English|English|2010-08-22|YES|YES|YES|YES|YES|YES|YES|YES|
4500||Dora Edreva|medical university plovdiv|INFORMATIONAL TECHNOLOGIES AND VOT|English|English|2010-08-22|YES|YES|YES|YES|YES|YES|YES|YES|
4507||Dora Edreva|medical university plovdiv|VOT Abbreviations|English|English|2010-08-22|YES|YES|YES|YES|YES|YES|YES|YES|
4568||Marios Neofytou||E-learning System for Training Doctors the basics of Health Telematics|English|English||||||||||
4575||Marios Neofytou||Endoscopy/Hysteroscopy|Greek|Greek||||||||||
4582||Marios Neofytou||M-Health, e-Emergency Systems and Services|English|English||||||||||
4589||Marios Neofytou||Medical Learning Course|English|English||||||||||
4596||Marios Neofytou||HYPERTENSION AND CORONARY HEART DISEASE|English|English||||||||||
4603||Marios Neofytou||ARTIAL SEPTAL DEFECT|English|English||||||||||
4610||Marios Neofytou||Ultrasound Image Analysis using Despeckle Filtering and Segmentation|English|English||||||||||
4633||Aristidis Protopsaltis|serious games institute - coventry university|Climate Health Impact French version|French|English|2010-08-23|YES|YES|YES|YES|YES|YES|YES|YES|
4640||Aristidis Protopsaltis|serious games institute - coventry university|Climate Health Impact Greek version|Greek|English|2010-08-27|YES|YES|YES|YES|YES|YES|YES|YES|
4799||Dora Edreva|medical university plovdiv|Lecture of  emergency medicine Chapter 2 - Urethral catheterisation and Suprapubic Cystostomy.|Bulgarian|English|2010-10-23||YES||YES|YES|YES||YES|
4813||Dora Edreva|medical university plovdiv|Lecture of  emergency medicine  Chapter 1. Naso-gastric intubation.|Bulgarian|English|2010-10-20||YES||YES|YES|YES||YES|
4820||Dora Edreva|medical university plovdiv|Lecture on Emergency Medicine and General Surgery – Bulgarian language Chapter 3. Thoracentesis and Pleural Aspiration|Bulgarian|English|2010-10-25||YES||YES|YES|YES||YES|
4827||Dora Edreva|medical university plovdiv|Lecture on Emergency Medicine and General Surgery – Bulgarian language Chapter 4. Pleural Drainage|Bulgarian|English|2010-10-26||YES||YES|YES|YES||YES|
4865||Dora Edreva|medical university plovdiv|Lecture on Emergency Medicine, Family Medicine and Neurology – Bulgarian language Chapter 5. Lumbar Puncture|Bulgarian|English|2010-11-28||YES||YES|YES|YES||YES|
4873||Dora Edreva|medical university plovdiv|Lecture on Emergency Medicine, Family Medicine, General Surgery and Gastroenterology  – Bulgarian language Chapter 6. Abdominal paracentesis|Bulgarian|English|2010-11-28||YES||YES|YES|YES||YES|
5476||Eva Mihajlova||Test - Questions and Answers on Emergency Surgery, Emergency Medicine, Intensive Care, General Surgery  – Bulgarian language  Part One|Bulgarian|Bulgarian|2011-01-03|YES|YES|YES|YES|YES|YES|YES|YES|
5483||Eva Mihajlova||Questions and Answers on Emergency Surgery, Emergency Medicine, Intensive Care, General Surgery  – Bulgarian language  Part II|Bulgarian|Bulgarian|2011-01-03|YES|YES|YES|YES|YES|YES|YES|YES|
5490||Eva Mihajlova||Questions and Answers on Emergency Surgery, Emergency Medicine, Intensive Care, General Surgery  – Bulgarian language  Part III|Bulgarian|Bulgarian|2011-01-07|YES|YES|YES|YES|YES|YES|YES|YES|
5497||Eva Mihajlova||Questions and Answers on Emergency Surgery, Emergency Medicine, Intensive Care, General Surgery  – Bulgarian language  Part IV|Bulgarian|Bulgarian|2011-01-10|YES|YES|YES|YES|YES|YES|YES|YES|
5504||Eva Mihajlova||Questions and Answers on Emergency Surgery, Emergency Medicine, Intensive Care, General Surgery  – Bulgarian language  Part V|Bulgarian|Bulgarian|2011-01-10|YES|YES|YES|YES|YES|YES|YES|YES|
5511||Eva Mihajlova||Questions and Answers on Emergency Surgery, Emergency Medicine, Intensive Care, General Surgery  – Bulgarian language  Part VI|Bulgarian|Bulgarian|2011-01-10|YES|YES|YES|YES|YES|YES|YES|YES|
5518||Eva Mihajlova||Questions and Answers on Emergency Surgery, Emergency Medicine, Intensive Care, General Surgery  – Bulgarian language  Part VII|Bulgarian|Bulgarian|2011-01-10|YES|YES|YES|YES|YES|YES|YES|YES|
5539||Dora Edreva|medical university plovdiv|Case myasthenia gravis|Bulgarian|English|2011-01-20|YES|YES|YES|YES|YES|YES|YES|YES|
5554||Dora Edreva|medical university plovdiv|Case myasthenia gravis|Bulgarian|English|2011-01-25|YES|YES|YES|YES|YES|YES|YES|YES|
5561||Dora Edreva|medical university plovdiv|Case myasthenia gravis II|Bulgarian|English|2011-01-20|YES|YES|YES|YES|YES|YES|YES|YES|
5568||Dora Edreva|medical university plovdiv|Case myasthenia gravis II|Bulgarian|English|2011-01-25|YES|YES|YES|YES|YES|YES|YES|YES|
5575||Dora Edreva|medical university plovdiv|Case hypertensive disease|Bulgarian|English|2011-01-20|YES|YES|YES|YES|YES|YES|YES|YES|
5582||Dora Edreva|medical university plovdiv|Case hypertensive disease|Bulgarian|English|2011-01-25|YES|YES|YES|YES|YES|YES|YES|YES|
5589||Dora Edreva|medical university plovdiv|Case skin disease|Bulgarian|English|2011-01-20|YES|YES|YES|YES|YES|YES|YES|YES|
5596||Dora Edreva|medical university plovdiv|Case skin disease|Bulgarian|English|2011-01-25|YES|YES|YES|YES|YES|YES|YES|YES|
5603||Dora Edreva|medical university plovdiv|Case pneumonia|Bulgarian|English|2011-01-20|YES|YES|YES|YES|YES|YES|YES|YES|
5610||Dora Edreva|medical university plovdiv|Case pneumonia|Bulgarian|English|2011-01-25|YES|YES|YES|YES|YES|YES|YES|YES|
5617||Dora Edreva|medical university plovdiv|Case trichinosis|bg|en|2011-01-20|YES|YES|YES|YES|YES|YES|YES|YES|
5624||Dora Edreva|medical university plovdiv|Case trichinosis|Bulgarian|English|2011-01-25|YES|YES|YES|YES|YES|YES|YES|YES|
5631||Dora Edreva|medical university plovdiv|Case haematology|Bulgarian|English|2011-01-20|YES|YES|YES|YES|YES|YES|YES|YES|
5638||Dora Edreva|medical university plovdiv|Case haematology|Bulgarian|English|2011-01-26|YES|YES|YES|YES|YES|YES|YES|YES|
5645||Dora Edreva|medical university plovdiv|Case heart disease|Bulgarian|English|2011-01-20|YES|YES|YES|YES|YES|YES|YES|YES|
5652||Dora Edreva|medical university plovdiv|Case heart disease|Bulgarian|English|2011-01-25|YES|YES|YES|YES|YES|YES|YES|YES|
8163||Antoine Mistretta||Cas pratique d'analyse critique d'article médical scientifique : Etude comparative dans le traitement de la fibromyalgie : ultrasons et kinésithérapie versus sertraline|fr|fr|2011-04-13|YES|YES|YES|YES|YES|YES|YES|YES|
11464||Antoine Mistretta||Cas pratique d'analyse critique d'article médical scientifique - Grille de notation :Ximélagatran versus warfarine dans la prévention des accidents vasculaires cérébraux chez les patients souffrant de fibrillation auriculaire non valvulaire|fr|fr|2011-07-13||YES|YES|YES|YES|YES|YES|YES|
12246||Giacomo Fazio||testresource4|en|en|2011-07-16||YES|||YES||||
12253||Teodor Stefanut|UTCN|Test form check resource|||1970-01-01|||||||||
12715||Endrianus Gohan||Mathematics|||1970-01-01|||||||||
12736||Endrianus Gohan||Information Technology|||1970-01-01|||||||||
15209||Álvaro Salvá||test from medting|fi|et|2011-08-10||YES|||||||
15608||Antoine Mistretta||Cette ressource n'est pas "repurposed" mais intérêt à tester.||||||||||||
15615||Dora Edreva|medical university plovdiv|http://metamorphosis.med.duth.gr/pg/profile/VENTILATION_OXYGENATION_THERAPY_IN_CHILDHOOD_Chapter4||||||||||||
15622||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|http://iris.med.duth.gr/elearning/course/view.php?id=104||||||||||||
15629||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|http://metamorphosis.med.duth.gr/pg/profile/Geometric_Optics._An_Introduction||||||||||||
15636||Álvaro Salvá||http://metamorphosis.med.duth.gr/pg/profile/GS_case_subjectDB||||||||||||
15643||Evangelia Mitsopoulou||http://metamorphosis.med.duth.gr/pg/file/litsa/read/3225/ecg_img4||||||||||||
15650||Evangelia Mitsopoulou||http://metamorphosis.med.duth.gr/pg/file/litsa/read/3224/ecg_img3||||||||||||
15657||Evangelia Mitsopoulou||http://metamorphosis.med.duth.gr/pg/file/litsa/read/3223/ecg_img2||||||||||||
15664||Evangelia Mitsopoulou||http://metamorphosis.med.duth.gr/pg/file/litsa/read/3222/ecg_img1||||||||||||
15671||Athos Antoniades||http://www.jisjournal.org/issue/Volume 8 Abstracts/j815.html||||||||||||
15678||Athos Antoniades||http://www.ivpcl.org/2007_m-Health.pdf||||||||||||
15685||Charalampos Bratsas||http://www.journals.uchicago.edu/doi/pdf/10.1086/429327||||||||||||
15692||Athos Antoniades||http://ieeexplore.ieee.org/Xplore/login.jsp?url=http://ieeexplore.ieee.org/iel5/74/21666/01003651.pdf?arnumber=1003651||||||||||||
15699||Charalampos Bratsas||http://chestjournal.chestpubs.org/content/76/6/663.full.pdf||||||||||||
15706||Charalampos Bratsas||http://jama.ama-assn.org/cgi/content/full/279/5/387||||||||||||
15713||Athos Antoniades||http://www.ncbi.nlm.nih.gov/pubmed/19162887||||||||||||
15720||Chara Balasubramaniam||katrin miller (from university of heidelberg) evip:vp:1000263||||||||||||
21804||sofia||The human heart and it's function - test - to be deleted|en|en|2011-09-04||YES|||||||
34250||Nikolas Dovrolis|democritus university of thrace|Test teodor and nikolas|eu|ga|2011-09-15||YES|||||||
