GUID|COUNT|VALUE1|ONTOLOGY1|VALUE2|ONTOLOGY2|VALUE3|ONTOLOGY3|VALUE4|ONTOLOGY4|VALUE5|ONTOLOGY5|VALUE6|ONTOLOGY6|VALUE7|ONTOLOGY7|VALUE8|ONTOLOGY8|VALUE9|ONTOLOGY9|VALUE10|ONTOLOGY10 
4486|8|invasive methods||Ventilation/oxygenation therapy; neonatal||mobile ICU||paediatric||monitoring and life-support equipment; non-invasive||transport||intensive care; medical||transport  monitoring|||||
4493|6|home care logistics||intensive care; medical||Ventilation/oxygenation therapy; neonatal||paediatric||respiratory support||monitoring and life-support equipment; home care ventilators|||||||||
4500|1|http://meducator.open.ac.uk/metamorphosis#subject866743363|||||||||||||||||||
4507|3|Ventilation/oxygenation therapy  terminology; neonatal||intensive care terminology; abbreviations||paediatric|||||||||||||||
4568|1|http://meducator.open.ac.uk/metamorphosis#subject316660537|||||||||||||||||||
4575|1|http://meducator.open.ac.uk/metamorphosis#subject630927655|||||||||||||||||||
4582|1|http://meducator.open.ac.uk/metamorphosis#subject363266395|||||||||||||||||||
4589|1|http://meducator.open.ac.uk/metamorphosis#subject1960582541|||||||||||||||||||
4596|1|http://meducator.open.ac.uk/metamorphosis#subject780723185|||||||||||||||||||
4603|1|http://meducator.open.ac.uk/metamorphosis#subject1566192153|||||||||||||||||||
4610|1|http://meducator.open.ac.uk/metamorphosis#subject1719571653|||||||||||||||||||
4633|19|Lyme Disease||Cholera||biology||diseases||Meningitis||Depression/Stress||Malaria||Tuberculosis||Bluetongue||Dengue fever||Trypanosomiasis||Skin Cancer||Plague||Heatstroke||serious game||Leishmaniasis||A-levels||climate change||Malnutrition|
4640|19|Malnutrition||climate change||Depression/Stress||Skin Cancer||Cholera||A-levels||Leishmaniasis||Tuberculosis||biology||Plague||Malaria||serious game||Trypanosomiasis||Lyme Disease||Bluetongue||Heatstroke||Dengue fever||diseases||Meningitis|
4799|1|medicine; medical students; clical procedures; urethral catheterization; suprapubic cystostomy. .|||||||||||||||||||
4813|1|medicine; medical students; clical procedures; naso-gastric intubation.|||||||||||||||||||
4820|5|medicine||pleural aspiration. .||thoracentesis||medical students||clical procedures|||||||||||
4827|5|medical students||pleural aspiration. .||pleural drainage||clical procedures||medicine|||||||||||
4865|5|lumbar puncture||medicine||clinical procedures||cerebro-spinal fluid aspiration. .||medical students|||||||||||
4873|6|ascit||abdominal trauma. .||medicine||medical students||abdominal paracentesis||clinical procedures|||||||||
5476|5|emergency medicine||general surgery||medicine||emergency surgery||medical students|||||||||||
5483|5|general surgery||medical students||emergency medicine||emergency surgery||medicine|||||||||||
5490|5|emergency medicine||emergency surgery||medicine||general surgery||medical students|||||||||||
5497|5|emergency medicine||general surgery||medical students||emergency surgery||medicine|||||||||||
5504|5|emergency surgery||medical students||general surgery||emergency medicine||medicine|||||||||||
5511|5|emergency medicine||medicine||general surgery||medical students||emergency surgery|||||||||||
5518|5|medical students||general surgery||emergency medicine||medicine||emergency surgery|||||||||||
5539|3|General Practice||myasthenia gravis||eye pathology|||||||||||||||
5554|3|eye pathology||General Practice||myasthenia gravis|||||||||||||||
5561|3|General Practice||myasthenia gravis||eye pathology|||||||||||||||
5568|3|eye pathology||General Practice||myasthenia gravis|||||||||||||||
5575|2|General Practice||hypertensive disease|||||||||||||||||
5582|2|General Practice||hypertensive disease|||||||||||||||||
5589|2|General Practice||skin disease|||||||||||||||||
5596|2|General Practice||skin disease|||||||||||||||||
5603|2|General Practice||pneumonia|||||||||||||||||
5610|2|pneumonia||General Practice|||||||||||||||||
5617|2|General Practice||trichinosis|||||||||||||||||
5624|2|trichinosis||General Practice|||||||||||||||||
5631|2|General Practice||haematology|||||||||||||||||
5638|2|haematology||General Practice|||||||||||||||||
5645|2|General Practice||heart disease|||||||||||||||||
5652|2|heart disease||General Practice|||||||||||||||||
8163|1|Fibromyalgia - Middle Aged - Physical Therapy Modalities - Prospective Studies - Serotonin Uptake Inhibitors - Sertraline - Treatment Outcome - Randomized Controlled Trial - Clinical Trial - Evidence-based Medicine|||||||||||||||||||
11464|1|http://meducator.open.ac.uk/metamorphosis#subject182842603|||||||||||||||||||
12246|1|http://meducator.open.ac.uk/metamorphosis#subject1602794762|||||||||||||||||||
12253|1|http://meducator.open.ac.uk/metamorphosis#subject423566506|||||||||||||||||||
12715|1|http://meducator.open.ac.uk/metamorphosis#subject752094516|||||||||||||||||||
12736|1|http://meducator.open.ac.uk/metamorphosis#subject1485134879|||||||||||||||||||
15209|1|http://meducator.open.ac.uk/metamorphosis#subject1110191850|||||||||||||||||||
15608|||||||||||||||||||||
15615|||||||||||||||||||||
15622|||||||||||||||||||||
15629|||||||||||||||||||||
15636|||||||||||||||||||||
15643|||||||||||||||||||||
15650|||||||||||||||||||||
15657|||||||||||||||||||||
15664|||||||||||||||||||||
15671|||||||||||||||||||||
15678|||||||||||||||||||||
15685|||||||||||||||||||||
15692|||||||||||||||||||||
15699|||||||||||||||||||||
15706|||||||||||||||||||||
15713|||||||||||||||||||||
15720|||||||||||||||||||||
21804|1|human heart|Free text||||||||||||||||||
